Модули состоят из:
порядковый номер, сопротивление 1ого гнезда, сопротивление 2ого гнезда

1, 2.11, 2.19
2, 1.70, 2.00
3, 2.19, 2.25
4, 2.20, 2.33
5, 2.47, 2.56
6, 2.24, 2.35
7, 2.12, 2.29
8, 1.71, 2.10
9, 2.20, 2.35
10, 2.21, 2.43
11, 2.48, 2.66
12, 2.25, 2.45
13, 2.31, 2.30
14, 1.90, 2.11
15, 2.39, 2.36
16, 2.50, 2.44
17, 2.77, 2.67
18, 2.54, 2.46
19, 2.22, 1.97
20, 1.92, 1.78
21, 2.31, 2.03
22, 2.42, 2.11
23, 2.69, 2.34
24, 2.45, 2.02
25, 2.11, 2.19
26, 1.70, 2.00
27, 2.19, 2.25
28, 2.20, 2.33
29, 2.47, 2.56
30, 2.24, 2.35
31, 0.99, 2.31
32, 1.71, 2.22
33, 2.20, 2.47
34, 2.31, 2.55
35, 2.59, 2.79
36, 2.35, 2.57
37, 2.16, 2.10
38, 1.75, 2.02
39, 2.10, 2.38
41, 2.24, 2.23
42, 2.40, 2.55
43, 2.21, 2.33
44, 2.11, 2.13
45, 1.70, 1.00
46, 2.19, 2.25


